date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:41:17	201902/201902	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Nov%202023%2012:41:16%20GMT	https://homezy.webflow.io/homes/home-v1	/Users/orjijoseph/websites/Home%20invest/homezy.webflow.io/homes/home-v1.html	(from )
13:41:18	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2013%20Nov%202023%2012:41:18%20GMT	https://homezy.webflow.io/robots.txt		(from )
13:41:19	121425/121425	---M-Z	200	added ('OK')	text/css	etag:%2291b9653b833f0256919c25dd187ffb16%22	https://uploads-ssl.webflow.com/63dccc1ba88f450bf57ed4e1/css/homezy.webflow.3ca6f9d9d.min.css	/Users/orjijoseph/websites/Home%20invest/uploads-ssl.webflow.com/63dccc1ba88f450bf57ed4e1/css/homezy.webflow.3ca6f9d9d.min.css	(from https://homezy.webflow.io/homes/home-v1)
13:41:21	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Nov%202023%2012:41:20%20GMT	https://fonts.gstatic.com/	/Users/orjijoseph/websites/Home%20invest/fonts.gstatic.com/index.html	(from https://homezy.webflow.io/homes/home-v1)
13:41:21	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	/Users/orjijoseph/websites/Home%20invest/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://homezy.webflow.io/homes/home-v1)
13:41:21	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Nov%202023%2012:41:21%20GMT	https://fonts.googleapis.com/	/Users/orjijoseph/websites/Home%20invest/fonts.googleapis.com/index.html	(from https://homezy.webflow.io/homes/home-v1)
13:41:21	993/993	---M--	200	added ('OK')	image/png	etag:%22ecf7a8d440d645c2239723c67d8df181%22	https://uploads-ssl.webflow.com/63dccc1ba88f450bf57ed4e1/63e4a7df6be67c500307980e_Favicons.png	/Users/orjijoseph/websites/Home%20invest/uploads-ssl.webflow.com/63dccc1ba88f450bf57ed4e1/63e4a7df6be67c500307980e_Favicons.png	(from https://homezy.webflow.io/homes/home-v1)
13:41:22	6014/6014	---M--	200	added ('OK')	image/png	etag:%2272aef1512259bf1523c4268d2077bc94%22	https://uploads-ssl.webflow.com/63dccc1ba88f450bf57ed4e1/63e4a7efeeb6176d67501963_Webclip.png	/Users/orjijoseph/websites/Home%20invest/uploads-ssl.webflow.com/63dccc1ba88f450bf57ed4e1/63e4a7efeeb6176d67501963_Webclip.png	(from https://homezy.webflow.io/homes/home-v1)
13:41:24	7270/7270	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2239a40ceb3217da43ddb56ca86e314533%22	https://uploads-ssl.webflow.com/63dccc1ba88f450bf57ed4e1/6410204f1f1bfe54066c6ecb_homezy.svg	/Users/orjijoseph/websites/Home%20invest/uploads-ssl.webflow.com/63dccc1ba88f450bf57ed4e1/6410204f1f1bfe54066c6ecb_homezy.svg	(from https://homezy.webflow.io/homes/home-v1)
13:41:24	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2013%20Nov%202023%2012:41:25%20GMT	https://homezy.webflow.io/homes/home-v2	/Users/orjijoseph/websites/Home%20invest/homezy.webflow.io/homes/home-v2.6.delayed	(from https://homezy.webflow.io/homes/home-v1)
13:41:26	182707/182707	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Nov%202023%2012:41:25%20GMT	https://homezy.webflow.io/homes/home-v3	/Users/orjijoseph/websites/Home%20invest/homezy.webflow.io/homes/home-v3.html	(from https://homezy.webflow.io/homes/home-v1)
13:41:26	22820/22820	---M--	200	added ('OK')	image/webp	etag:%22516e53eb44fa1029cb28f34244780735%22	https://uploads-ssl.webflow.com/63dccc1ba88f450bf57ed4e1/63e48806d598a39128761f5d_Hero%20V1%20Illustration%20Item%203.webp	/Users/orjijoseph/websites/Home%20invest/uploads-ssl.webflow.com/63dccc1ba88f450bf57ed4e1/63e48806d598a39128761f5d_Hero%20V1%20Illustration%20Item%203.webp	(from https://homezy.webflow.io/homes/home-v1)
13:41:28	38294/38294	---M--	200	added ('OK')	image/webp	etag:%22d63fbb968a687b48ef092a137b1b30a5%22	https://uploads-ssl.webflow.com/63dccc1ba88f450bf57ed4e1/63e4880695aaa2d135ece75b_Hero%20V1%20Illustration%20Item%202.webp	/Users/orjijoseph/websites/Home%20invest/uploads-ssl.webflow.com/63dccc1ba88f450bf57ed4e1/63e4880695aaa2d135ece75b_Hero%20V1%20Illustration%20Item%202.webp	(from https://homezy.webflow.io/homes/home-v1)
13:41:28	7570/7570	---M--	200	added ('OK')	image/webp	etag:%22d5c537493ab1d73ebbfc9518a4cadeb3%22	https://uploads-ssl.webflow.com/63dccc1ba88f450bf57ed4e1/63e48806d598a31ec5761f5c_Hero%20V1%20Illustration%20Item%201.webp	/Users/orjijoseph/websites/Home%20invest/uploads-ssl.webflow.com/63dccc1ba88f450bf57ed4e1/63e48806d598a31ec5761f5c_Hero%20V1%20Illustration%20Item%201.webp	(from https://homezy.webflow.io/homes/home-v1)
13:41:30	640794/640794	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%220cc1021bbed7a114e9af8d3143011104%22	https://uploads-ssl.webflow.com/63dccc1ba88f450bf57ed4e1/63e486a98b1e3f344556828a_Hero%20Vector%201.svg	/Users/orjijoseph/websites/Home%20invest/uploads-ssl.webflow.com/63dccc1ba88f450bf57ed4e1/63e486a98b1e3f344556828a_Hero%20Vector%201.svg	(from https://homezy.webflow.io/homes/home-v1)
13:41:32	161308/161308	---M--	200	added ('OK')	image/png	etag:%22da39558c48bc806fed5f09c81211c251%22	https://uploads-ssl.webflow.com/64087d5b4d8daebee9cc0cf2/640886d049e094cd138f0ef4_Estately%20Agent%20-%20Edwin%20Martins.png	/Users/orjijoseph/websites/Home%20invest/uploads-ssl.webflow.com/64087d5b4d8daebee9cc0cf2/640886d049e094cd138f0ef4_Estately%20Agent%20-%20Edwin%20Martins.png	(from https://homezy.webflow.io/homes/home-v1)
13:41:32	428859/428859	---M--	200	added ('OK')	image/png	etag:%22e42eb04a71daaf6b6e748983c1c39236%22	https://uploads-ssl.webflow.com/64087d5b4d8daebee9cc0cf2/6408c97fa5cfb40dad59f9c6_Estately%20Property%20-%20COVA%20Home%20Realty.png	/Users/orjijoseph/websites/Home%20invest/uploads-ssl.webflow.com/64087d5b4d8daebee9cc0cf2/6408c97fa5cfb40dad59f9c6_Estately%20Property%20-%20COVA%20Home%20Realty.png	(from https://homezy.webflow.io/homes/home-v1)
